ID	Sex
HG03782	1
HG03784	1
HG03785	0
HG03786	0
HG03787	1
HG03788	0
HG03789	1
HG03790	0
HG03792	0
HG03793	1
HG03796	1
HG03800	0
HG03802	1
HG03803	0
HG03805	1
HG03808	1
HG03809	0
HG03812	0
HG03814	1
HG03815	0
HG03817	1
HG03821	0
HG03823	1
HG03824	0
HG03826	1
HG03829	1
HG03830	0
HG03832	1
HG03833	0
HG03836	1
HG03837	0
HG03838	1
HG03844	0
HG03846	0
HG03848	0
HG03849	1
HG03850	0
HG03851	0
HG03854	0
HG03856	0
HG03857	1
HG03858	1
HG03861	1
HG03862	1
HG03863	1
HG03864	0
HG03866	0
HG03867	0
HG03868	1
HG03869	0
HG03870	0
HG03871	0
HG03872	0
HG03873	1
HG03874	1
HG03875	0
HG03882	1
HG03884	1
HG03885	0
HG03886	1
HG03887	0
HG03888	1
HG03890	0
HG03894	1
HG03895	1
HG03896	0
HG03897	1
HG03898	1
HG03899	0
HG03900	0
HG03902	0
HG03905	0
HG03907	1
HG03908	0
HG03910	1
HG03911	0
HG03913	1
HG03914	0
HG03916	1
HG03917	0
HG03919	1
HG03920	0
HG03922	1
HG03925	1
HG03926	0
HG03928	1
HG03931	1
HG03934	1
HG03937	1
HG03940	1
HG03941	0
HG03943	0
HG03944	1
HG03945	1
HG03947	1
HG03949	1
HG03950	0
HG03951	1
HG03953	0
HG03955	1
HG03960	0
HG03963	0
HG03965	0
HG03967	0
HG03968	1
HG03969	0
HG03971	0
HG03973	1
HG03974	0
HG03976	0
HG03977	1
HG03978	0
HG03985	0
HG03986	1
HG03989	1
HG03990	0
HG03991	0
HG03995	1
HG03998	0
HG03999	0
HG04001	1
HG04002	0
HG04003	0
HG04006	0
HG04014	1
HG04015	0
HG04017	0
HG04018	1
HG04019	0
HG04020	0
HG04022	0
HG04023	0
HG04025	1
HG04026	1
HG04029	1
HG04033	0
HG04035	1
HG04038	1
HG04039	0
HG04042	1
HG04047	1
HG04054	1
HG04056	0
HG04059	1
HG04060	0
HG04061	0
HG04062	1
HG04063	1
HG04070	1
HG04075	1
HG04076	1
HG04080	0
HG04090	1
HG04093	0
HG04094	0
HG04096	0
HG04098	0
HG04099	1
HG04100	0
HG04106	1
HG04107	0
HG04118	1
HG04131	0
HG04134	0
HG04140	0
HG04141	1
HG04144	1
HG04146	0
HG04152	0
HG04153	1
HG04155	0
HG04156	1
HG04158	0
HG04159	1
HG04161	0
HG04162	1
HG04164	0
HG04171	1
HG04173	0
HG04176	0
HG04177	1
HG04180	1
HG04182	0
HG04183	1
HG04185	0
HG04186	1
HG04188	0
HG04189	1
HG04194	0
HG04195	1
HG04198	0
HG04200	1
HG04202	1
HG04206	0
HG04209	1
HG04210	0
HG04211	0
HG04212	1
HG04214	1
HG04216	1
HG04219	0
HG04222	0
HG04225	0
HG04227	1
HG04229	0
HG04235	0
HG04238	0
HG04239	0
NA06984	0
NA06985	1
NA06986	0
NA06989	1
NA06994	0
NA07000	1
NA07037	1
NA07048	0
NA07051	0
NA07056	1
NA07347	0
NA07357	0
NA10847	1
NA10851	0
NA11829	0
NA11830	1
NA11831	0
NA11832	1
NA11840	1
NA11843	0
NA11881	0
NA11892	1
NA11893	0
NA11894	1
NA11918	1
NA11919	0
NA11920	1
NA11930	0
NA11931	1
NA11932	0
NA11933	1
NA11992	0
NA11994	0
NA11995	1
NA12003	0
NA12004	1
NA12005	0
NA12006	1
NA12043	0
NA12044	1
NA12045	0
NA12046	1
NA12058	1
NA12144	0
NA12154	0
NA12155	0
NA12156	1
NA12234	1
NA12249	1
NA12272	0
NA12273	1
NA12275	1
NA12282	0
NA12283	1
NA12286	0
NA12287	1
NA12340	0
NA12341	1
NA12342	0
NA12347	0
NA12348	1
NA12383	1
NA12399	0
NA12400	1
NA12413	0
NA12414	1
NA12489	1
NA12546	0
NA12716	0
NA12717	1
NA12718	1
NA12748	0
NA12749	1
NA12750	0
NA12751	1
NA12760	0
NA12761	1
NA12762	0
NA12763	1
NA12775	0
NA12776	1
NA12777	0
NA12778	1
NA12812	0
NA12813	1
NA12814	0
NA12815	1
NA12827	0
NA12828	1
NA12829	0
NA12830	1
NA12842	0
NA12843	1
NA12872	0
NA12873	1
NA12874	0
NA12878	1
NA12889	0
NA12890	1
NA18486	0
NA18488	1
NA18489	1
NA18498	0
NA18499	1
NA18501	0
NA18502	1
NA18504	0
NA18505	1
NA18507	0
NA18508	1
NA18510	0
NA18511	1
NA18516	0
NA18517	1
NA18519	0
NA18520	1
NA18522	0
NA18523	1
NA18525	1
NA18526	1
NA18528	1
NA18530	0
NA18531	1
NA18532	1
NA18533	1
NA18534	0
NA18535	1
